,Player,Season,MIPFlag,Age,Pos,G,MP,MP_per_game,FG,FT,FG_Perc,3P_Perc,eFG_Perc,FT_Perc,TRB,AST,STL,BLK,PS_per_game,USG_Perc,year_no
1361,Ron Anderson,1993,0.0,35,9,-48.0,-907.0,-1.3000000000000007,-1.6,-0.09999999999999998,-0.006999999999999951,-0.05600000000000005,-0.0010000000000000564,0.016999999999999904,-0.20000000000000015,-0.5,0.0,0.0,-3.5,-8.900000000000002,4.0
453,Willie Anderson,1991,0.0,25,12,-18.0,-703.0,-1.5,-0.5,-0.3999999999999999,-0.0020000000000000018,0.031999999999999966,0.0040000000000000036,-0.02299999999999991,0.5999999999999996,0.5,-0.20000000000000007,0.30000000000000004,-1.3000000000000007,-0.3000000000000007,2.0
915,Willie Anderson,1992,0.0,26,12,-19.0,-1329.0,-18.4,-3.4,-1.2999999999999998,-0.025000000000000026,-0.10699999999999997,-0.03200000000000003,0.0109999999999999,-3.8,-3.2,-0.5,-0.7,-8.3,-0.8000000000000007,3.0
1364,Willie Anderson,1993,0.0,27,12,42.0,1928.0,16.400000000000002,2.8000000000000003,1.2000000000000002,0.041000000000000036,0.19899999999999998,0.05099999999999999,0.06200000000000005,1.5,2.2,0.5,0.4,7.1000000000000005,0.1999999999999993,4.0
1841,Willie Anderson,1994,0.0,28,12,-42.0,-1932.0,-16.5,-2.9000000000000004,-1.0,-0.0020000000000000573,-0.166,-0.0060000000000000045,-0.116,-1.6,-2.9,-0.20000000000000007,-0.3,-7.0,-1.8999999999999984,5.0
2294,Willie Anderson,1995,0.0,29,12,38.0,1504.0,12.500000000000002,1.7999999999999998,0.8999999999999999,-0.032999999999999974,0.12500000000000006,-0.01599999999999996,0.07800000000000007,1.8000000000000005,1.2000000000000002,0.30000000000000004,0.5,4.9,1.599999999999998,6.0
2840,Willie Anderson,1996,0.0,30,12,-48.0,-1757.0,-16.3,-2.8,-1.1,0.01699999999999996,0.138,0.053999999999999986,0.039999999999999925,-1.7000000000000002,-1.4,-0.5,-0.7000000000000001,-6.800000000000002,-4.699999999999998,7.0
454,Michael Ansley,1991,0.0,24,9,-57.0,-832.0,-8.6,-1.3,-0.8999999999999999,-0.10399999999999993,0.0,-0.10399999999999993,0.11599999999999988,-3.2,-0.2,-0.4,-0.1,-3.6,6.199999999999998,2.0
458,B.J. Armstrong,1991,0.0,24,6,0.0,144.0,1.7999999999999972,0.39999999999999947,0.10000000000000007,0.0,-0.09799999999999998,0.013000000000000013,-0.06800000000000017,0.0,-0.5,-0.30000000000000004,0.1,1.0999999999999996,0.0,2.0
917,B.J. Armstrong,1992,0.0,25,6,0.0,617.0,7.5,0.9000000000000004,0.30000000000000004,0.01799999999999996,0.050999999999999934,0.031000000000000024,0.05500000000000005,0.0,0.7999999999999998,0.20000000000000007,0.0,2.4000000000000004,-2.6999999999999997,3.0
1366,B.J. Armstrong,1993,0.0,26,6,0.0,278.0,3.3999999999999986,0.7999999999999998,0.7999999999999998,-0.02299999999999996,-0.00899999999999995,-0.03200000000000003,-0.0060000000000000045,0.30000000000000004,-0.10000000000000007,0.2,0.0,2.5,3.0,4.0
