,Season,Player,Pos,Age,Tm,G,GS,MP_per_game,FG,FGA,FG_Perc,3P,3PA,3P_Perc,2P,2PA,2P_Perc,eFG_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS_per_game,MP,PER,TS_Perc,3PAr,FTr,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP
42,1990,Charles Barkley,SF,27,PHI,67,67,37.3,9.9,17.4,0.57,0.7,2.3,0.284,9.3,15.1,0.614,0.589,7.1,9.8,0.722,3.9,6.3,10.1,4.2,1.6,0.5,3.1,2.6,27.6,2498,28.9,0.635,0.133,0.564,11.8,18.6,15.3,20.6,2.2,0.8,12.6,29.1,10.3,3.1,13.4,0.258,9.0,0.9,9.9,7.4
43,1990,Dana Barros,PG,23,SEA,66,0,11.4,2.3,4.7,0.495,0.5,1.2,0.395,1.8,3.5,0.53,0.547,1.2,1.3,0.9179999999999999,0.3,0.8,1.1,1.7,0.3,0.0,0.8,0.6,6.3,750,18.8,0.6,0.26,0.273,2.7,8.7,5.7,21.9,1.5,0.1,13.4,22.5,2.1,0.4,2.5,0.158,3.0,-3.2,-0.2,0.3
44,1990,John Battle,SG,28,ATL,79,2,23.6,5.0,10.9,0.461,0.2,0.6,0.28600000000000003,4.8,10.3,0.47100000000000003,0.469,3.4,4.0,0.8540000000000001,0.4,1.6,2.0,2.7,0.6,0.1,1.4,1.8,13.6,1863,16.4,0.5379999999999999,0.057,0.36700000000000005,1.9,7.6,4.7,18.4,1.2,0.2,10.1,24.7,3.4,0.6,4.0,0.102,0.7,-3.1,-2.4,-0.2
45,1990,Kenny Battle,SG,26,TOT,56,8,16.9,2.4,5.0,0.47200000000000003,0.1,0.4,0.125,2.3,4.6,0.504,0.47700000000000004,1.3,1.7,0.753,1.5,1.7,3.1,1.1,1.1,0.3,0.9,1.9,6.1,945,12.4,0.525,0.085,0.33,8.2,10.3,9.2,7.9,2.8,1.0,14.1,14.7,0.7,0.6,1.3,0.068,-1.1,0.4,-0.7,0.3
46,1990,Kenny Battle,SG,26,PHO,16,4,16.4,2.4,5.4,0.442,0.0,0.1,0.0,2.4,5.3,0.452,0.442,1.3,1.8,0.69,1.3,2.0,3.3,0.9,1.2,0.4,1.1,1.6,6.0,263,12.8,0.486,0.023,0.337,9.2,12.7,11.0,7.5,3.4,1.3,14.7,17.9,0.0,0.4,0.4,0.081,-1.7,1.8,0.2,0.1
47,1990,Kenny Battle,SG,26,DEN,40,4,17.1,2.4,4.9,0.485,0.1,0.6,0.136,2.3,4.4,0.529,0.49200000000000005,1.3,1.6,0.7809999999999999,1.6,1.5,3.1,1.2,1.0,0.3,0.9,2.1,6.1,682,12.3,0.542,0.11199999999999999,0.327,7.8,9.4,8.5,8.1,2.5,0.9,13.8,13.4,0.7,0.2,0.9,0.063,-0.8,-0.2,-1.0,0.2
48,1990,William Bedford,C,27,DET,60,4,9.4,1.8,4.0,0.43799999999999994,0.1,0.2,0.385,1.7,3.8,0.441,0.44799999999999995,0.9,1.3,0.705,0.9,1.3,2.2,0.5,0.0,0.6,0.5,1.3,4.5,562,15.5,0.49200000000000005,0.054000000000000006,0.322,11.1,15.5,13.3,9.2,0.2,4.1,10.4,24.1,0.5,0.8,1.3,0.113,-1.6,0.2,-1.4,0.1
49,1990,Benoit Benjamin,C,26,TOT,70,65,31.9,5.5,11.1,0.496,0.0,0.0,0.0,5.5,11.1,0.496,0.496,3.0,4.2,0.7120000000000001,2.2,8.1,10.3,1.7,0.8,2.1,3.4,2.6,14.0,2236,15.1,0.541,0.0,0.379,7.8,28.7,18.1,7.7,1.2,4.0,20.6,21.0,-0.7,3.7,3.0,0.064,-3.5,2.3,-1.1,0.5
50,1990,Benoit Benjamin,C,26,LAC,39,38,34.3,5.9,11.9,0.49200000000000005,0.0,0.0,0.0,5.9,11.9,0.49200000000000005,0.49200000000000005,3.2,4.3,0.728,2.4,9.6,12.0,1.9,0.7,2.3,3.5,2.8,14.9,1337,15.2,0.539,0.0,0.363,7.5,30.7,18.9,8.1,0.9,4.1,20.4,20.6,-0.5,2.4,1.9,0.068,-3.8,2.7,-1.1,0.3
51,1990,Benoit Benjamin,C,26,SEA,31,27,29.0,5.1,10.1,0.502,0.0,0.0,0.0,5.1,10.1,0.502,0.502,2.8,4.1,0.69,2.0,6.2,8.2,1.5,0.9,1.7,3.1,2.4,12.9,899,15.1,0.544,0.0,0.40299999999999997,8.1,25.9,16.9,7.1,1.6,3.9,20.8,21.8,-0.2,1.3,1.1,0.059000000000000004,-2.9,1.7,-1.2,0.2
52,1990,Winston Bennett,SF,25,CLE,27,13,12.4,1.5,4.0,0.374,0.0,0.0,0.0,1.5,4.0,0.374,0.374,1.3,1.7,0.745,1.1,1.3,2.4,1.0,0.3,0.1,0.7,1.9,4.3,334,9.2,0.45,0.0,0.439,10.4,11.8,11.1,11.9,1.2,0.4,13.5,19.3,0.0,0.2,0.2,0.026000000000000002,-3.2,-1.4,-4.6,-0.2
53,1990,Larry Bird,SF,34,BOS,60,60,38.0,7.7,17.0,0.45399999999999996,1.3,3.3,0.389,6.4,13.7,0.47,0.49200000000000005,2.7,3.1,0.8909999999999999,0.9,7.6,8.5,7.2,1.8,1.0,3.1,2.0,19.4,2277,19.7,0.53,0.195,0.18,2.8,20.4,12.3,25.9,2.3,1.5,14.6,23.7,3.0,3.6,6.6,0.14,2.4,2.3,4.7,3.8
54,1990,Rolando Blackman,SG,31,DAL,80,80,37.1,7.9,16.5,0.48200000000000004,0.5,1.4,0.35100000000000003,7.4,15.0,0.494,0.49700000000000005,3.5,4.1,0.865,0.8,2.4,3.2,3.8,0.9,0.2,2.0,1.9,19.9,2965,16.6,0.545,0.087,0.248,2.4,7.4,4.9,16.8,1.2,0.4,9.8,24.2,4.4,1.0,5.5,0.08900000000000001,1.5,-2.1,-0.6,1.1
55,1990,Lance Blanks,SG,24,DET,38,0,5.6,0.7,1.6,0.426,0.1,0.4,0.125,0.6,1.2,0.5329999999999999,0.44299999999999995,0.3,0.4,0.7140000000000001,0.1,0.4,0.5,0.7,0.2,0.1,0.5,0.9,1.7,214,7.5,0.47600000000000003,0.262,0.23,2.1,8.6,5.3,17.7,2.2,0.6,21.1,17.5,-0.2,0.3,0.1,0.027000000000000003,-3.6,0.1,-3.5,-0.1
56,1990,Mookie Blaylock,PG,23,NJN,72,70,35.9,6.0,14.4,0.41600000000000004,0.2,1.3,0.154,5.8,13.2,0.441,0.423,1.9,2.4,0.79,0.9,2.5,3.5,6.1,2.3,0.6,2.9,2.5,14.1,2585,13.1,0.455,0.08800000000000001,0.16899999999999998,2.6,7.7,5.1,25.5,3.2,0.9,15.6,20.6,-0.7,2.9,2.1,0.04,-1.2,0.7,-0.5,1.0
57,1990,Muggsy Bogues,PG,26,CHH,81,46,28.4,3.0,6.5,0.46,0.0,0.1,0.0,3.0,6.3,0.47100000000000003,0.46,1.1,1.3,0.7959999999999999,0.7,2.0,2.7,8.3,1.7,0.0,1.5,2.0,7.0,2299,15.4,0.49700000000000005,0.023,0.20600000000000002,2.8,8.1,5.4,40.2,2.9,0.1,17.4,12.8,3.1,1.7,4.8,0.1,0.0,-1.0,-1.0,0.6
58,1990,Manute Bol,C,28,PHI,82,6,18.6,0.8,2.0,0.396,0.0,0.2,0.071,0.8,1.8,0.42700000000000005,0.39899999999999997,0.3,0.5,0.585,0.8,3.5,4.3,0.2,0.2,3.0,0.8,2.2,1.9,1522,8.4,0.426,0.085,0.25,5.0,20.5,12.9,1.7,0.5,9.6,25.7,7.0,-1.3,2.6,1.3,0.042,-6.6,5.4,-1.2,0.3
59,1990,Anthony Bonner,PF,22,SAC,34,6,22.1,3.0,6.8,0.44799999999999995,0.0,0.0,0.0,3.0,6.8,0.44799999999999995,0.44799999999999995,1.3,2.2,0.579,1.7,3.0,4.7,1.4,1.1,0.1,1.2,1.8,7.4,750,12.2,0.474,0.0,0.33,8.7,15.8,12.2,10.1,2.6,0.4,13.5,17.7,-0.2,0.8,0.7,0.044000000000000004,-2.7,0.7,-2.0,0.0
60,1990,Sam Bowie,C,29,NJN,62,51,30.9,5.1,11.7,0.434,0.1,0.4,0.182,5.0,11.3,0.442,0.43700000000000006,2.7,3.7,0.732,2.8,4.9,7.7,2.4,0.7,1.5,2.3,2.8,12.9,1916,14.1,0.486,0.03,0.32,9.3,17.3,13.1,11.4,1.1,2.8,14.6,20.3,0.4,2.2,2.6,0.066,-1.8,1.2,-0.6,0.7
61,1990,Randy Breuer,C,30,MIN,73,44,20.6,2.7,6.0,0.45299999999999996,0.0,0.0,0.0,2.7,6.0,0.45299999999999996,0.45299999999999996,0.5,1.1,0.44299999999999995,1.6,3.2,4.7,1.0,0.5,1.1,0.9,1.8,5.9,1505,11.4,0.457,0.0,0.182,8.3,19.1,13.3,7.0,1.2,3.4,12.8,15.4,-0.3,1.3,1.0,0.031,-3.9,0.7,-3.1,-0.4
62,1990,Frank Brickowski,PF,31,MIL,75,73,25.5,5.0,9.4,0.527,0.0,0.0,0.0,5.0,9.4,0.528,0.527,2.6,3.3,0.7979999999999999,1.7,4.0,5.7,1.7,1.1,0.6,2.1,3.4,12.6,1912,16.4,0.578,0.003,0.35100000000000003,7.9,18.9,13.3,10.6,2.2,1.4,16.4,21.9,2.2,2.6,4.7,0.11900000000000001,-0.2,0.9,0.6,1.3
63,1990,Scott Brooks,PG,25,MIN,80,0,12.3,2.0,4.6,0.43,0.6,1.7,0.33299999999999996,1.4,2.9,0.485,0.491,0.8,0.9,0.847,0.4,0.6,0.9,2.6,0.7,0.1,0.6,1.5,5.3,980,16.9,0.528,0.365,0.195,3.1,5.6,4.3,31.6,2.8,0.3,11.3,19.9,2.1,0.5,2.6,0.127,2.6,-3.3,-0.8,0.3
64,1990,Chucky Brown,SF,22,CLE,74,51,20.1,3.6,6.8,0.524,0.0,0.1,0.0,3.6,6.7,0.528,0.524,1.4,1.9,0.701,1.1,1.8,2.9,1.1,0.4,0.3,1.3,1.8,8.5,1485,12.0,0.555,0.008,0.287,6.1,10.5,8.3,8.4,0.9,1.0,14.3,19.4,0.7,0.9,1.6,0.052000000000000005,-2.0,-1.5,-3.4,-0.5
65,1990,Dee Brown,PG,22,BOS,82,5,23.7,3.5,7.5,0.46399999999999997,0.1,0.4,0.20600000000000002,3.4,7.0,0.479,0.47,1.7,1.9,0.873,0.5,1.7,2.2,4.2,1.0,0.2,1.7,2.0,8.7,1945,13.2,0.523,0.055999999999999994,0.257,2.5,7.4,5.2,22.5,2.1,0.4,16.7,17.7,1.8,1.8,3.5,0.087,-0.6,-0.7,-1.3,0.3
85,1990,Mike Brown,C,27,UTA,82,2,17.0,1.6,3.5,0.45399999999999996,0.0,0.0,0.0,1.6,3.5,0.45399999999999996,0.45399999999999996,1.6,2.2,0.742,1.3,2.8,4.1,0.6,0.4,0.3,1.0,2.0,4.8,1391,9.6,0.5379999999999999,0.0,0.627,9.9,18.1,14.3,4.9,1.1,1.1,18.5,14.2,0.5,1.9,2.4,0.083,-3.0,0.9,-2.1,0.0
86,1990,Tony Brown,SG-SF,30,TOT,30,0,9.8,1.0,2.7,0.375,0.1,0.4,0.25,0.9,2.3,0.397,0.39399999999999996,0.7,0.8,0.87,0.8,0.6,1.4,0.5,0.1,0.0,0.5,1.6,2.8,294,5.9,0.46,0.15,0.28800000000000003,10.3,7.2,8.6,7.6,0.7,0.0,15.1,16.0,-0.1,0.2,0.2,0.026000000000000002,-2.8,-1.3,-4.2,-0.2
87,1990,Tony Brown,SF,30,LAL,7,0,3.9,0.3,0.4,0.667,0.1,0.1,1.0,0.1,0.3,0.5,0.833,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.0,0.0,0.6,1.1,0.7,27,-0.4,0.833,0.33299999999999996,0.0,0.0,16.5,8.6,14.5,0.0,0.0,57.1,11.3,-0.1,0.0,0.0,-0.043,-6.4,-0.6,-7.0,0.0
88,1990,Tony Brown,SG,30,UTA,23,0,11.6,1.2,3.3,0.364,0.1,0.5,0.182,1.1,2.9,0.39399999999999996,0.377,0.9,1.0,0.87,1.0,0.7,1.7,0.6,0.2,0.0,0.5,1.7,3.4,267,6.5,0.44799999999999995,0.14300000000000002,0.299,11.3,6.2,8.6,6.9,0.8,0.0,12.1,16.4,0.0,0.2,0.2,0.033,-2.5,-1.4,-3.9,-0.1
89,1990,Mark Bryant,PF,25,POR,53,0,14.7,1.9,3.8,0.488,0.0,0.0,0.0,1.9,3.8,0.49,0.488,1.4,1.9,0.733,1.2,2.4,3.6,0.5,0.3,0.2,0.6,2.3,5.1,781,11.2,0.55,0.005,0.498,9.3,17.5,13.5,4.5,0.9,0.9,11.8,14.6,1.0,1.1,2.1,0.129,-1.8,-0.1,-1.9,0.0
90,1990,Jud Buechler,SF,22,NJN,74,10,11.6,1.3,3.1,0.41600000000000004,0.0,0.1,0.25,1.3,3.0,0.419,0.418,0.6,0.9,0.652,0.8,1.1,1.9,0.7,0.4,0.2,0.4,1.1,3.1,859,10.0,0.455,0.018000000000000002,0.292,7.2,10.2,8.6,8.2,1.9,1.0,9.3,13.1,0.4,0.8,1.2,0.065,-3.1,0.2,-2.9,-0.2
91,1990,Matt Bullard,PF,23,HOU,18,0,3.5,0.8,1.7,0.452,0.0,0.2,0.0,0.8,1.6,0.5,0.452,0.6,0.9,0.647,0.3,0.4,0.8,0.1,0.2,0.0,0.2,0.6,2.2,63,17.2,0.507,0.09699999999999999,0.5479999999999999,10.2,13.4,11.8,5.0,2.3,0.0,7.2,27.1,0.1,0.1,0.2,0.147,-1.1,-3.0,-4.1,0.0
92,1990,Willie Burton,SF,22,MIA,76,26,25.4,4.5,10.2,0.441,0.1,0.4,0.133,4.4,9.8,0.45399999999999996,0.444,3.0,3.9,0.782,1.5,2.0,3.4,1.4,0.9,0.3,1.9,3.6,12.0,1928,11.5,0.507,0.039,0.379,6.3,8.9,7.6,8.5,1.8,0.8,13.8,22.1,0.5,1.6,2.1,0.052000000000000005,-2.0,-0.8,-2.8,-0.4
93,1990,Greg Butler,C,24,LAC,9,0,4.1,0.6,2.1,0.263,0.0,0.0,0.0,0.6,2.1,0.263,0.263,0.4,0.7,0.667,0.9,0.9,1.8,0.1,0.0,0.0,0.4,1.0,1.6,37,3.2,0.32299999999999995,0.0,0.316,22.9,23.7,23.3,3.7,0.0,0.0,15.6,28.1,-0.1,0.0,-0.1,-0.131,-9.2,-5.6,-14.9,-0.1
94,1990,Michael Cage,C,29,SEA,82,55,26.1,2.8,5.4,0.508,0.0,0.0,0.0,2.8,5.4,0.511,0.508,0.9,1.4,0.625,2.2,4.6,6.8,1.1,1.0,0.7,1.0,2.4,6.4,2141,12.0,0.528,0.006999999999999999,0.252,9.8,21.6,15.6,5.4,2.0,1.8,14.4,11.3,1.7,2.7,4.3,0.09699999999999999,-1.0,2.0,1.0,1.6
95,1990,Adrian Caldwell,PF,24,HOU,42,0,8.2,0.8,2.0,0.42200000000000004,0.0,0.0,0.0,0.8,2.0,0.42700000000000005,0.42200000000000004,0.2,0.4,0.41200000000000003,1.0,1.4,2.4,0.2,0.5,0.2,0.7,0.8,1.8,343,8.6,0.426,0.012,0.205,13.4,17.6,15.5,3.1,2.7,1.7,24.9,14.4,-0.5,0.7,0.1,0.021,-5.8,1.9,-3.8,-0.2
96,1990,Rick Calloway,SG,24,SAC,64,0,10.6,1.2,3.0,0.391,0.0,0.0,0.0,1.2,3.0,0.395,0.391,0.9,1.2,0.696,0.4,0.8,1.2,1.0,0.3,0.1,0.8,1.5,3.2,678,6.6,0.452,0.01,0.41100000000000003,4.1,9.1,6.5,13.4,1.6,0.7,18.4,17.9,-0.8,0.4,-0.3,-0.025,-5.6,-1.2,-6.8,-0.8
97,1990,Elden Campbell,PF,22,LAL,52,0,7.3,1.1,2.4,0.455,0.0,0.0,0.0,1.1,2.4,0.455,0.455,0.6,0.9,0.653,0.8,1.1,1.8,0.2,0.2,0.7,0.3,1.4,2.8,380,14.5,0.498,0.0,0.39799999999999996,12.8,16.4,14.7,3.8,1.5,5.9,10.0,18.4,0.4,0.7,1.1,0.135,-2.6,1.9,-0.7,0.1
98,1990,Tony Campbell,SG,28,MIN,77,71,37.6,8.5,19.5,0.434,0.2,0.8,0.262,8.3,18.7,0.441,0.439,4.6,5.8,0.8029999999999999,2.1,2.4,4.5,2.8,1.6,0.6,2.5,2.6,21.8,2893,16.6,0.494,0.040999999999999995,0.297,6.1,7.9,6.9,12.4,2.2,1.1,10.1,28.1,2.3,1.4,3.7,0.062,0.7,-1.6,-0.9,0.8
